Delta Energy,Theta Energy,Alpha Energy,Beta Energy,Delta Relative Power,Theta Relative Power,Alpha Relative Power,Beta Relative Power,Beta-Theta Ratio,Slow-Fast Ratio,Beta-Delta Theta Ratio,Spectral Slope,Entropy,SEF95,Hjorth Mobility,Hjorth Complexity,Mean,Standard Deviation,Variance,Alpha-Beta Ratio,Delta-Theta Ratio,Delta-Alpha Ratio,Delta-Beta Ratio,Theta-Alpha Ratio,Theta-Beta Ratio,Peak Frequency,Spectral Centroid,label
2743.729256,2.084468343,0.050123734,0.00479412,0.999220871,0.000759129,1.83E-05,1.75E-06,0.002299925,572311.2943,1.75E-06,-5.856865143,0.21549756,2,0,0,255.5,147.801387,21845.25,10.45525128,1316.272931,54739.12384,572311.2943,41.5864541,434.7968273,1,1.054994025,1
2.140148902,0.272305964,1.59838739,0.346259844,0.49118631,0.062497035,0.366846439,0.079470216,1.271583769,6.180759735,0.143530082,-6.768660908,2.248987621,14,0.082585063,2.883326312,1.615928364,3.539018151,12.52464947,4.616150032,7.859353758,1.338942559,6.180759735,0.170362933,0.786420859,1,4.621823036,1
1.169798869,0.200268563,1.113119059,0.91655409,0.344084744,0.058907013,0.32741294,0.269595302,4.576624892,1.276300964,0.668984656,-6.699132762,2.693857271,24,0.122890819,1.935152806,-0.386339374,2.112363035,4.462077591,1.21446085,5.841150763,1.050919809,1.276300964,0.17991657,0.21850163,2,8.928254224,1
0.716449103,2.565291675,0.435386138,1.724472239,0.131661499,0.471422389,0.080010696,0.316905415,0.672232423,0.415459922,0.525474849,-7.134617916,2.828077629,30,0.170899516,1.734597916,-0.209406764,2.627497595,6.90374361,0.252475005,0.27928563,1.645548722,0.415459922,5.891992079,1.487580732,4,9.54259009,1
0.276935036,1.153331149,0.516984462,2.664059917,0.060055603,0.25010919,0.112112263,0.577722945,2.309882916,0.103952255,1.862632247,-7.12111391,3.011481528,30,0.183844618,1.651734987,-0.499290601,2.731906425,7.463312715,0.194058872,0.240117538,0.535673809,0.103952255,2.230881649,0.432922376,14,13.2560097,1
3.142430071,1.738458488,0.282314588,1.464011491,0.474170559,0.262321138,0.042599282,0.22090902,0.842131981,2.14645178,0.29994774,-7.188805005,2.374417192,21,0.112448152,2.497311196,0.708053891,3.56650859,12.71998352,0.19283632,1.80759569,11.13095179,2.14645178,6.157876924,1.187462325,1,5.990926838,1
5.320468618,0.733309334,0.711498909,1.794483397,0.621567481,0.085669378,0.083121359,0.209641782,2.447102899,2.964902671,0.296423723,-7.207397715,2.286379466,24,0.116029321,2.633373301,0.085174493,3.797338954,14.41978313,0.396492333,7.25542192,7.477831031,2.964902671,1.030654194,0.408646486,1,6.270325161,1
0.917287084,1.108751909,0.328204754,2.201718503,0.201337727,0.243362839,0.072038515,0.483260919,1.985762988,0.416623234,1.086710824,-7.161399056,3.126705091,32,0.211400982,1.555135102,-0.872956227,2.214185729,4.902618444,0.149067537,0.827314999,2.794862269,0.416623234,3.378232321,0.503584771,1,13.82974801,1
0.948323054,1.288321516,0.504465226,1.944990005,0.202369368,0.274924046,0.107651405,0.415055182,1.509708548,0.487572199,0.869601738,-7.245872954,3.147036761,29,0.19620827,1.602216393,0.718467382,2.195294865,4.819319545,0.259366487,0.736091917,1.879858126,0.487572199,2.553836122,0.662379505,4,10.98770115,1
1.271545182,0.297409675,0.193454693,0.929910489,0.472286045,0.110465944,0.071854271,0.345393741,3.126698854,1.367384492,0.592694229,-6.815172257,2.492636199,27,0.140197843,2.108489559,0.235219316,2.534077276,6.421547642,0.208035822,4.275399525,6.572831917,1.367384492,1.537360866,0.319826132,1,6.833035217,1
1.585066663,0.557919624,0.854660379,1.732323546,0.335111342,0.117954152,0.180690436,0.366244071,3.104969732,0.914994585,0.808368936,-7.156100118,3.00943718,25,0.148156243,1.890692727,-0.551334674,2.735137636,7.480977888,0.493360713,2.84103049,1.854615824,0.914994585,0.652796874,0.322064331,3,9.624939087,1
5.271338522,2.495987674,0.229572885,2.081618701,0.523027159,0.247654241,0.022778437,0.206540163,0.83398597,2.532326655,0.267996818,-7.188530678,2.351037452,22,0.124561498,2.296125796,0.431503316,3.782052474,14.30392092,0.110285753,2.111924901,22.96150313,2.532326655,10.87231043,1.199060939,2,5.899290089,1
7.640673637,3.774190312,0.356653482,2.847089054,0.522667714,0.25817716,0.024397228,0.194757897,0.754357576,2.683679187,0.249419447,-7.330062341,2.270501861,24,0.112849648,2.628248656,-0.369585102,3.969610629,15.75780855,0.125269521,2.024453725,21.42324141,2.683679187,10.58223319,1.325631282,1,5.540785129,1
9.713819177,4.510308093,1.291999636,1.189365523,0.581474579,0.269989533,0.077339812,0.071196077,0.263699397,8.167227812,0.083616063,-7.369856698,2.260050145,17,0.101584136,2.816460202,0.507105844,5.209237133,27.1361515,1.086293163,2.153693046,7.518438013,8.167227812,3.490951519,3.792196769,1,4.486199806,1
19.42044837,3.663706233,0.825615155,3.895349001,0.698448676,0.131763733,0.02969292,0.140094672,1.063226349,4.985547729,0.168745578,-7.589963673,2.037407628,21,0.089784547,3.047895565,0.159399557,6.23846281,38.91841823,0.211948956,5.30076571,23.52239811,4.985547729,4.437547215,0.940533501,1,4.091219552,1
5.224280569,1.909519057,2.523095597,2.327745866,0.435914645,0.159330517,0.210527422,0.194227416,1.219022066,2.244351776,0.326298184,-7.285529959,2.201279824,23,0.078785548,3.052762606,-0.986004973,6.733460615,45.33949185,1.083922276,2.735914339,2.070583681,2.244351776,0.756815976,0.820329695,1,4.657377327,1
33.95830027,11.75996784,3.358646297,2.383452562,0.659892307,0.228524757,0.06526666,0.046316276,0.202675092,14.24752513,0.052133483,-7.501312101,2.154760626,12,0.080156081,2.98845581,1.029154915,6.222576133,38.72045374,1.409151728,2.887618464,10.11071047,14.24752513,3.5014011,4.934005411,2,3.473821848,1
12.31258541,4.851752324,2.050165145,2.588508666,0.564719483,0.222526705,0.094031283,0.118722529,0.533520364,4.756632873,0.150807372,-7.373425904,2.307987639,21,0.095541354,2.806642088,-0.02582749,5.328017784,28.38777351,0.792025606,2.537760502,6.005655418,4.756632873,2.366517807,1.874342701,1,4.917866127,1
5.235601373,1.296629579,0.742572018,2.095771922,0.558727872,0.138372469,0.079245087,0.223654573,1.616322777,2.498173259,0.320835552,-7.251487757,2.511071416,27,0.111220911,2.441691316,-0.501923416,4.784879257,22.8950695,0.354319098,4.037854338,7.050631112,2.498173259,1.7461331,0.618688306,2,7.451829189,1
3.782349909,0.985574772,0.795632126,1.944160794,0.503794909,0.131274886,0.105975234,0.258954971,1.972616232,1.945492328,0.407758286,-7.169753272,2.6480772,25,0.15572262,1.859518644,0.327371993,2.950504784,8.705478478,0.409241935,3.837709747,4.753892892,1.945492328,1.238731745,0.506940977,2,7.505053966,1
0.708427931,1.094686956,0.229605658,1.982228741,0.176447542,0.272652748,0.057187686,0.493712025,1.81077223,0.357389597,1.099335797,-7.084682313,2.997489467,30,0.181389028,1.646811951,-0.532808611,2.606941902,6.796146079,0.11583207,0.647151158,3.085411465,0.357389597,4.767682834,0.552250572,1,12.21402443,1
